Fatturazione per riga*,Fra CHF 3.– e CHF 4.50 a seconda del livello tecnico del testo.
Fatturazione oraria,"Fra CHF 90.– e CHF 120.– all'ora per redazione, adattamento e correzione."
Traduzioni urgenti,Supplemento del 50% per mandati superiori a 5 pagine per giorno lavorativo. 
Riduzioni,"In caso di lavori regolari o progetti voluminosi, possiamo offrire uno sconto."
"* Una riga comporta 55 battute, spazi inclusi; base di calcolo è il testo d'arrivo", 
