"Interpretazione simultanea","CHF 1200.– per interprete/giorno
(mass. 6 ore, min. CHF 1200.–)"
"Trattativa","CHF 300.– per le prime due ore
CHF 150.– per ogni ora supplementare"
"Spese aggiuntive (diarie, spese di viaggio, vitto e alloggio ecc.) da definire al momento del preventivo.",
