"Simultan-
dolmetschen","1'200.– CHF pro Dolmetscher und Tag
(max. 6 Std., Mindestansatz 1'200.– CHF)"
"Verhandlungs-
dolmetschen","Bis zu zwei Stunden 300.– CHF
Jede zusätzliche Stunde 150.– CHF"
"Die Preise verstehen sich exklusive Spesen (per diem-Entschädigung sowie Spesen für An- und Abreise, Verpflegung und Unterkunft etc.) Diese werden auf dem Kostenvoranschlag gesondert ausgewiesen.",
