Simultaneous interpretation,"CHF 1,200 per interpreter/day
(up to 6 hours, min. CHF 1,200)"
Liaison interpretation,"CHF 300 up to 2 hours
CHF 150 per additional hour"
"Additional expenses (daily allowances, travel expenses, accommodation expenses, etc.) to be defined together with the quote.",
