"Interprétation simultanée","CHF 1200.– par interprète/jour
(max. 6 heures, min. CHF 1200.–)"
"Interprétation de liaison","CHF 300.– jusqu’à deux heures
CHF 150.– par heure supplémentaire"
"Les frais supplémentaires (indemnités journalières, frais de déplacement, de transport, d’hébergement, etc.) sont à définir au moment du devis.",
